labels	quotes	stats	but	adj	advs	negations	survey	averagesent	proper	report	conj	comparative	superlat	questions	meme	personal	mon	modal	statives	strah	udivlen	zol	jdu	fu	ura	negati	positi	grustno	doverie	abstract_nouns	assertion_words	discourse_markers	claims	modality_words	cons	reas	purp	relat	tim	cond	passive	lentok
n	12	6	3	54	24	0	0	23.514285714285716	98	11	35	0	0	0	1	17	2	3	38	15	9	12	17	6	2	32	41	6	36	169	2	1	21	6	0	24	6	12	7	9	6	823
n	0	0	0	3	1	0	0	31	6	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	3	2	1	2	9	0	0	0	1	0	1	0	0	0	1	0	31
n	12	0	2	54	27	0	2	33.93333333333333	22	9	17	2	1	2	0	8	0	2	23	24	1	17	10	4	3	26	34	3	27	126	1	1	20	5	0	8	9	4	4	0	5	509
n	2	0	2	19	13	0	0	29.5	18	2	11	0	0	0	0	3	0	0	7	7	5	10	3	6	2	12	7	6	4	42	0	0	3	0	1	7	1	0	1	1	2	236
n	22	0	2	28	11	1	0	19.869565217391305	55	4	11	2	0	0	1	13	0	1	31	3	4	3	11	0	5	10	23	4	11	96	3	0	3	7	0	16	6	8	4	0	9	457
n	6	0	2	16	6	0	1	60.75	13	7	9	0	0	0	0	2	0	0	8	11	2	5	2	3	2	9	12	3	10	45	2	0	2	1	0	10	1	5	1	1	2	243
n	0	0	0	22	12	1	0	17.307692307692307	26	1	13	0	0	0	0	0	0	0	18	5	1	2	2	1	0	8	10	3	8	47	1	0	8	1	0	8	3	3	1	0	4	225
n	0	1	1	23	13	1	1	35.333333333333336	15	5	16	1	0	1	6	10	0	4	16	9	3	2	2	0	3	8	14	3	10	42	3	3	12	3	4	11	3	4	1	1	6	318
n	2	0	2	25	10	0	0	18.933333333333334	35	1	13	0	1	0	0	6	0	1	14	15	4	10	7	1	4	17	16	5	11	51	0	2	11	5	0	14	2	3	0	8	2	284
n	3	0	3	28	42	2	1	22.307692307692307	44	7	28	2	0	0	18	24	0	2	33	8	7	10	16	6	10	17	29	11	13	106	1	4	23	1	1	17	9	3	8	5	4	580
n	0	0	1	24	17	0	0	25.692307692307693	31	1	14	0	0	0	0	4	0	7	6	9	2	7	15	1	5	13	33	11	19	59	1	2	9	2	1	8	2	8	0	2	1	334
n	0	0	1	26	17	1	0	26.545454545454547	25	3	20	1	0	1	0	8	0	2	13	9	2	5	9	2	4	15	16	3	16	86	2	0	3	2	0	10	2	7	2	3	2	292
n	7	0	3	33	22	1	2	18.304347826086957	2	1	12	1	0	1	6	19	0	2	33	13	3	8	8	3	4	21	29	11	17	61	3	0	14	2	0	7	11	3	4	3	5	421
n	0	0	3	26	14	0	0	15	6	1	19	0	0	1	12	15	0	3	26	16	7	10	13	6	8	20	18	11	11	77	2	1	12	1	2	6	5	1	1	2	4	345
n	5	0	4	64	31	1	0	31.363636363636363	48	3	33	0	1	0	0	12	0	9	23	30	11	23	19	12	11	44	61	16	44	169	3	2	21	3	1	21	13	11	5	2	1	690
n	0	0	2	52	27	3	0	18.161290322580644	44	1	23	7	0	0	2	21	1	11	22	22	4	12	22	5	12	22	41	6	33	97	0	2	10	0	1	14	3	6	1	1	3	563
