labels	quotes	stats	but	adj	advs	negations	survey	averagesent	proper	report	conj	comparative	superlat	questions	meme	personal	mon	modal	statives	strah	udivlen	zol	jdu	fu	ura	negati	positi	grustno	doverie	abstract_nouns	assertion_words	discourse_markers	claims	modality_words	cons	reas	purp	relat	tim	cond	passive	lentok	war	allegedly	so-called 	nationalists 	nazis 	fascists	the goals of the special operation	azov	bandera	banderites	free 	hysteria	unfriendly	great power	west	fascism	foreign agent 	brotherly nations	people of donbass 	russophobia 	russophobic	soros	great victory 	anglo-saxons	great patriotic war	external control 	spiritual scrapes 	denacification 	deukrainianization	demilitarization 	kiev regime 	special operation 	on ukraine	in ukraine	in donbass 	junta	kiev regime 	coup d'etat	reunification of crimea and sevastopol with russia 	return of crimea	civil war	ukraine border with the crimea	export of ukraine with crimea 	dnr	lnr	people's republics of donbass	self-proclaimed republics	borders of lnr/dnr	russian volunteers	self-defense	militia 	retirees	vacationers	novorossiya	southeast ukraine	southeast ukraine	baltic countries	belarus	belorussia	old russian	post-soviet space	near abroad 	color revolution 	ukrainian crisis	internal conflict in ukraine 	ukrainian-russian conflict 	armed formations of ukraine 	punishers 	kiev army 	republic of crimea	aggression of ukraine against donbass	genocide of the inhabitants of donbass 	8 years	russian spring	declaration of will of the people 	crimean referendum 	the polite men 	crimean blockade	crimean bridge 	special status of donbass 	people of donbass 	people's militia	forced migrants	blockage of supplies 	national battalion 	ukrainian nationalist paramilitaries 	demarcation line 	buffer zone 	russian world	orthodox world	prednestrovian moldavian republic 	republic of abkhazia 	south ossetia 	russcists	rashism	attack	invasion	russia's war against ukraine	deceased	fake	rape	looting	victims	arms deliveries	children	refugees	europe	war crimes	genocide 	pumping	pump	negotiations	sanctions 	embargo	kremlin 	kremlin regime	text
h	1	0	1	188	51	6	10	19.8	54	1	69	1	0	0	0	3	0	1	13	14	20	11	57	20	32	29	114	15	117	121	10	7	13	17	0	14	2	18	3	6	0	1089	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31 грудня 2021 року Ощадбанку виповнилося 30 років.  Колись єдиний банк країни з обслуговування громадян досі зберігає вагомі позиції на українському банківському ринку: на початку 2022 року Ощадбанк лідирує за кількістю відділень і посідає друге місце за обсягами активів серед усіх банків України.  Ощадбанк створений на базі Сбєрбанку СРСР. Зараз це сучасний український банк, у якому обслуговуються близько 7 млн клієнтів. З 2012 року він пропонує мобільний банкінг. Застосунок установи другий за популярністю серед аналогічних додатків у країні, ним користуються 5,9 млн українців.  Після успішного ребрендингу у 2015-2016 роках банк відкрив 672 сучасні відділення нового формату, 25 інклюзивних відділень для людей з інвалідністю, преміум-центр та 67 преміум-зон.  Мережа відділень Ощадбанку нараховує близько 1 600 установ. У безпосередній близькості до лінії розмежування на сході України працюють пʼять мобільних підрозділів, у тому числі два – на базі броньованих автомобілів КрАЗ.  Ощадбанк – єдиний банк, що обслуговує клієнтів у багатьох населених пунктах Донецької та Луганської областей.  До 30-ї річниці провідного українського банку компанія Gradus Research провела дослідження* щодо сприйняття Ощадбанку, головних поведінкових змін українців у питаннях фінансів та рівня їх добробуту.  Розповідаємо, як змінилися українці разом з Ощадбанком за останні 30 років і як державний банк сприймають зараз.  Зміни в українців від СРСР до сьогодення  За результатами дослідження, більшість опитаних українців – 64% – демонструють високий рівень патріотизму і заявляють про позитивне ставлення до України.  Респонденти вважають головними позитивними якостями України її людей, клімат та природу, кухню, природні ресурси, демократію, менталітет та цінності.  Більшість опитаних – 74%, – хто голосував за незалежність України з мріями про щасливе майбутнє, заявили, що ці мрії не здійснилися.  Попри такий результат респонденти оцінюють життя за незалежності як набагато краще, ніж за часів СРСР. Зокрема, українці почуваються більш вільними у своїх висловлюваннях, пересуванні та виборі.  Серед найбільших прорахунків України за час незалежності учасники дослідження назвали корупцію, хабарництво та розкрадання, відмову від ядерної зброї, війну на сході, погіршення стану економіки, втрату Криму та Донбасу, зближення з Росією, становлення олігархії, бідність та соціальну незахищеність, підвищення цін та комунальних тарифів.  До здобутків українці віднесли безвізовий режим з ЄС, створення самостійної православної церкви, закон про мову та українізацію, орієнтацію на західних партнерів та відокремлення від Росії, армію, спортивні досягнення, демократію, свободу слова та будівництво доріг.  Майже чверть респондентів відповіли, що в України гарне майбутнє, яке буде однозначно кращим, ніж зараз.  Фінансовий стан за 30 років  Поліпшення фінансового стану за роки незалежності помітили 24% респондентів, а близько третини заявили, що матеріальний добробут їхніх родин погіршився.  На думку переважної більшості учасників дослідження, незалежність України не сприяла підвищенню матеріального добробуту людей. Однак респонденти вважають, що середній клас становить навіть більше 30% населення країни.  Опитані низько оцінюють рівень фінансової грамотності співгромадян. Серед причин – низький рівень доходів, який не дозволяє отримати належну освіту.  Попри відповіді про погіршення матеріального стану абсолютна більшість респондентів заявила, що в сучасній Україні набагато краща ситуація з асортиментом побутової техніки, подорожами за кордон, свободою самовираження, придбанням автомобілів та нерухомості, а також асортиментом продуктів харчування, ніж це було в СРСР.  Комфортною заробітною платою опитані в середньому назвали 44 261 грн на місяць.  Однак у населених пунктах з більшою кількістю людей цей показник був помітно вищим. У містах з населенням понад 1 млн комфортною зарплатою назвали 55 610 грн, у містах з населенням 50-100 тис – 34 591 грн.  "Отримані дані свідчать, що українці відчувають поліпшення матеріального становища, але не зізнаються в цьому, коли йдеться про пряме порівняння добробуту в грошовому еквіваленті", – пишуть автори дослідження.  Результати порівняння мрій українців зараз і 30 років тому свідчать, що в кінці 2021 року набагато більше громадян мріють про будинок, новий автомобіль, подорожі до інших країн, квартиру та земельну ділянку, ніж у 1991 році.  На противагу цьому українці значно менше мріють про нову електроніку, побутову техніку та модний одяг.  Довіра до банків та зміни Ощадбанку  У питанні довіри до фінансових інструментів та банків 26% респондентів висловили довіру до державних українських банків, тоді як українським та іноземним приватним банкам довіряють лише 10% та 12% відповідно.  Серед причин довіри до держбанків опитані виокремили їх надійність, власний позитивний досвід користування та стабільність. 85% респондентів заявили, що знають про державний банк Ощадбанк, 23% опитаних користуються ним та 10% найбільше довіряють йому.  Користувачі найчастіше називали Ощадбанк соціальним, рідним, патріотичним, надійним, зрозумілим і простим, порядним і чесним, що відповідає очікуваному іміджу банку-лідера.  Більше третини учасників дослідження заявили, що помітили позитивні зміни в Ощадбанку за останні п’ять років, відзначили нове оформлення відділень і створення мобільного додатка "Ощад 24/7".  Задоволеність Ощадбанком висловили 66% респондентів. Вони погодилися з тезою про те, що державний банк може бути інноваційним та швидко розвиватися відповідно до запитів часу.  Респонденти порадили Ощадбанку впроваджувати більше інновацій та нових технологій, покращувати обслуговування та ставлення до клієнтів, створювати вигідніші умови кредитування та депозитів, розвивати інтернет-банкінг, знижувати тарифи та комісії, збільшувати кількість терміналів та банкоматів.  Найбільшими проблемами банку опитані назвали тарифи та черги.  Голова правління Ощадбанку Сергій Наумов прокоментував результати дослідження  "Ощадбанк змінюється разом з розвитком українського суспільства. Українці вже давно не сприймають банки лише як місце, де можна покласти гроші "на книжку" та оплатити комунальні послуги. І Ощадбанк уже зовсім не той, яким був 30 років тому. Наш банк пропонує набір банківських послуг, який задовольняє будь-які потреби вибагливого клієнта. Оновлені мобільний банкінг та сайт, чат-бот та новий голосовий помічник у колл-центрі, можливість купувати цінні папери на закордонних ринках – перелік інновацій Ощадбанку, реалізованих лише у 2021 році, можна продовжувати довго. Ми спілкуємося з клієнтами там, де їм зручно: недавно в рамках впливової міжнародної премії Global Banking & Finance Awards 2021 Ощадбанк був визнаний найкращим банком України в соціальних мережах. Результати дослідження показали, що Ощадбанк має досягнення, якими можна пишатися. Треба визнати, що й аспектів, які слід удосконалити, у нас чимало. Однак головне – банк зберіг довіру клієнтів, стабільно працює та розвивається відповідно до вимог часу. 30 років успішної роботи в незалежній Україні дозволяють нашому колективу впевнено дивитися в майбутнє – усе тільки починається!".  *У дослідженні взяли участь 800 респондентів віком 18-60 років, що проживають у містах з населенням понад 50 тис жителів. Опитування проведене 28 грудня 2021 року.
h	5	0	3	339	54	4	11	18.935897435897434	125	6	74	2	0	0	1	4	0	15	24	36	7	27	71	14	27	52	105	31	83	71	8	7	5	11	0	25	11	16	3	17	0	1477	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Рівень зрілості сфери відкритих даних в Україні становить 94%, тоді як в інших європейських країнах – у середньому 81%. Це ще більше привертає увагу бізнесу до відносно нової сфери. Пояснюємо, як відкриті дані можуть допомогти вашому підприємству.  Сучасна концепція відкритих даних передбачає вільний доступ до використання та поширення суспільно значущої інформації будь-якою особою з будь-якою метою.  У більшості випадків відкриті дані стосуються доступу до державної інформації для забезпечення прозорого функціонування влади. Проте зараз open data дедалі частіше використовують представники бізнесу для підвищення його ефективності.  Верховна Рада ухвалила закон "Про доступ до публічної інформації" у 2011 році, але ключовою для сфери стала постанова №835 "Про затвердження положення про набори даних, які підлягають оприлюдненню у формі відкритих даних", яку ухвалили у 2015 році.  У 2016 році офіційно запустили Єдиний державний вебпортал відкритих даних. Відтоді українські державні органи зобов’язалися оприлюднювати дані, визначені новим законодавством.  Недавно представники Міністерства цифрової трансформації за підтримки USAID/UK aid проєкту "Прозорість та підзвітність у державному управлінні та послугах/TAPAS" запустили платформу "Дія.Відкриті дані" – перший у світі Центр компетенцій у сфері відкритих даних, який має на меті підвищити обізнаність українців про відкриті дані та їхню користь для суспільства.  Відкриті дані на користь бізнесу  Відкриття даних у різних сферах сприяє створенню сервісів, що допомагають підприємцям уникати корупційних ризиків та вирішувати проблеми, з якими може стикатися бізнес в Україні.  Зокрема, корисними є дані з Єдиного державного реєстру юридичних осіб, фізосіб-підприємців та громадських формувань (ЄДР), реєстрів судових рішень, нотаріусів, платників податків, податкових боржників. Ці дані оприлюднюють Міністерство юстиції, Державна судова адміністрація та Державна податкова служба.  Також відкриття даних сприяє створенню нових ринків у сфері провадження бізнесу – моніторингу та перевірки контрагентів, автоматизації документообігу та автоматичної підготовки звітності.  Сервіси для перевірки потенційних контрагентів YouControl, "Опендатабот", Liga Contr Agent, Ring та Vkursi.Pro допомагають уникнути фінансових втрат, шахрайства та невиконання зобов’язань потенційними підрядниками.  Ефективніше готуватися до судових справ та оперативно аналізувати судові практики допоможуть інструменти PravoSud та "Суд на долоні".  Чат-бот SaveEcoBot у зручному вигляді надає доступ до планів екологічних перевірок. Також сервіс містить опцію подання скарг для ініціювання перевірок у разі порушення екологічних норм.  Серед інших сервісів на основі відкритих даних слід виокремити платформу юридичного аудиту ринку нерухомості Monitor.Estate, пошуково-аналітичну систему про використання бюджетних коштів .007, платформy для аналізу публічних закупівель та їх учасників Clarity Project.  "Про користь сервісу .007 для бізнесу ми можемо говорити опосередковано, оскільки технічно не ідентифікуємо наших користувачів та не збираємо дані. Бізнес може використовувати наш сервіс на майданчиках, де проходять публічні закупівлі. За допомогою нескладного алгоритму, одним кліком, користувач може побачити, як той чи інший контрагент платить за договорами", – розповідає проєктна менеджерка у сфері відкритих даних, екскерівниця проекту .007 Наталя Кравченко.  За її словами, велику роль у використанні сервісів з відкритих даних відіграє іміджева складова: підприємства, які мають публікувати звіти про публічні закупівлі, можуть розмістити сервіс пошуку оплат з платформами на кшталт .007 на своїх сайтах.  "На мою думку, ринок відкритих даних перебуває в стадії формування і зростання, має значний потенціал і є новою нафтою нашого часу. Відкритість даних – це важлива іміджева складова країни на міжнародній арені, а також маркер відповідальності перед громадськістю", – пояснює Кравченко.  Проєктна менеджерка у сфері відкритих даних зазначає, що держава є монопольним власником даних, але без ефективного використання ці дані – мертвий вантаж.  "Бізнес може використовувати дані, щоб оцінити репутацію та фінансовий стан контрагента, проаналізувати потенціал ринків збуту для своєї продукції, взяти участь у тендері чи аукціоні, отримати інформацію про судові засідання, провадження, обтяження, відсутність чи наявність ліцензій, а може просто розмістити цікаві віджети на своїх сайтах, як, наприклад, курс валют. Кожен бізнес може знайти для себе щось корисне", – запевняє Кравченко.  У тому, що в Україні склалася краща ситуація з ринком відкритих даних, ніж у ЄС чи США, упевнений керівник відділу навчання та розвитку YouControl Михайло Кольцов.  Причина – комерційна складова та швидка поява таких сервісів як YouControl, які почали працювати з відкритими даними. У інших країнах державні служби переважно залишаються єдиними провайдерами відкритих даних.  "У ЄС та США у цьому немає великої потреби, тому що там краще працюють регуляторні органи. Наприклад, створити шахрайську фірму на території Швейцарії – доволі небезпечна справа. Найімовірніше, вас упіймають ще до того, як ви почнете будь-яку активність. В Україні ситуація трохи інша, тому тут цінність відкритих даних набагато вища. Недавно я відстежував підприємство, яке за день створило 17 назв, що відрізняються лише числами. Такі підприємства часто стають суб’єктами діяльності, можуть здійснювати фінансові операції і перевірити їх можна лише за допомогою відкритих даних", – говорить Кольцов.  Представник YouControl розповідає, що часто за послугами звертаються представники банківського, аграрного та промислового секторів, бізнеси з інших сфер, де є багато шахраїв.  "Бізнес стає більш обізнаним стосовно сервісів з відкритих даних, особливо при встановленні ділових відносин з іншими українськими контрагентами. Це привертає увагу і наших міжнародних партнерів, які, маючи такі сервіси, краще розуміють бізнес-середовище в Україні. Наш досвід показав, що існує прямий зв’язок між відкритістю даних і прозорістю бізнес-середовища", – підкреслює Кольцов.  Крім того, послугами YouControl та інших подібних сервісів користуються для найму персоналу, перевірки потенційних співробітників, їх податкових зобов’язань.  Недавно, продовжує Кольцов, відкритими даними почали активніше користуватися й державні органи, які раніше мали проблеми в співпраці один з одним.  Тепер різні держоргани використовують комерційні сервіси на основі відкритих даних і працюють більш ефективно.  "Українська сфера відкритих даних рухається в напрямку збільшення їх обсягу: хотілося б краще розуміти ситуацію з нерухомістю, отримувати більше інформації про фінансовий стан підприємств. Також важливо покращувати стабільність та якість відкритих даних, тому що навіть у держреєстрах часто можна натрапити на помилки в написанні імен, прізвищ та інших даних", – резюмує Кольцов.  У 2021 році відкрили суспільно значущі набори даних, важливі для бізнесу та держави.  Почався процес публікації фінансової звітності компаній, опубліковані знеособлені митні декларації, повністю відкрили Єдиний державний реєстр юридичних осіб, фізосіб-підприємців та громадських формувань (ЄДР).  Це значно вплинуло на позицію України в європейському рейтингу Open Data Maturity 2021, дозволило представникам бізнесу отримувати більше даних про своїх контрагентів, автоматизувати бізнес-процеси та ефективніше здійснювати конкурентну розвідку.  Наприклад, захистити бізнес від рейдерських атак та безоплатно моніторити свою компанію щодо змін у реєстрах можна через сервіси "Опендатабот" та YouControl.  Власники бізнесу можуть автоматизувати підготовку рахунків, договорів, довідок та окремих фінансових операцій, використовуючи API (інтерфейс прикладного програмування) сервісу "Опендатабот". Успішними є кейси Bot&Partners (юридичний бізнес) та Poster (ресторанний бізнес).  А сервіс PatentBot спрощує процедуру реєстрації торгової марки.  Скориставшись модулем "Інспекційний портал", що використовує дані про перевірки, підприємці можуть дізнатися, коли відбудуться державні інспекції їхнього бізнесу, краще зрозуміти предмет перевірок або суть потенційних порушень і ефективніше підготуватися. Це допоможе уникнути штрафів, санкцій чи корупційних ризиків.  Де можна навчитися користуватися відкритими даними?  "В Україні довгий час рівень навичок та знань про відкриті дані був доволі низьким. Особисто чув від представників органів влади про "машиночитані дані на інфостенді в канцелярії" і бачив страх в очах громадян при фразі "відкриті дані": "Це ж про мене можна все дізнатися". У 2021 році ми почали це виправляти: створили перший центр компетенцій у сфері відкритих даних "Дія.Відкриті дані". Завдяки цій платформі всі охочі, зокрема представники бізнесу, можуть пройти навчальні програми, які дозволять їм більше дізнатися про відкриті дані та їх можливості в конкретній сфері бізнесу", – розповідає керівник експертної групи розвитку сфери відкритих даних Мінцифри Михайло Корнєєв.  На платформі також зібрані сервіси на основі відкритих даних. Використовуючи їх, користувач може дізнатися, чи не включена його компанія до реєстру боржників, хто позивається на нього до суду, яку тактику захисту краще обрати.  Додаткові освітні можливості можна знайти на платформі "Дія.Цифрова освіта". Онлайн-курс "Відкриті дані для бізнесу" дає базові знання про пошук та використання відкритих даних.  Відкриті дані – це сучасний інструмент для розвитку та захисту будь-якого бізнесу. Завдяки центру компетенцій "Дія.Відкриті дані" кожен користувач може приєднатися до створення нової культури open data в Україні, використовуючи доступну і корисну інформацію для захисту конкурентної боротьби та підтримки здорової економіки країни.  Підготовлено за підтримки USAID/UK aid проєкту "Прозорість та підзвітність у державному управлінні та послугах/TAPAS", що реалізується Фондом Євразія, та за сприяння Міністерства цифрової трансформації.
h	3	0	0	50	20	3	0	21.692307692307693	21	0	16	0	0	0	0	1	0	0	2	7	5	5	10	2	6	6	12	1	9	33	0	1	2	1	0	8	1	5	2	4	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Нові супутникові знімки, зроблені 20 лютого, свідчать про посилену активність російських військ, розміщених поруч з північно-східним кордоном України з Росією.  Як пише "Європейська правда", про це повідомляє CNN, наводячи дані від приватної компанії Maxar.  За оцінкою компанії, яка вже деякий час відстежує переміщення російських військ поруч з українським кордоном, "на північний захід від Білгорода та біля Солоти і Валуйок у Росії спостерігаються численні нові розгортання сил на місцевості".  Ці території розташовані за близько 35 км від кордону.  "Ця активність відрізняється від розгортання підрозділів, які спостерігались раніше… Донедавна вони розміщувалися на або поруч із гарнізонами та навчальними полігонами. Зараз (у неділю) більшість підрозділів і допоміжного спорядження у Солоті від’їхали, і по всьому району можна бачити сліди транспортних засобів і конвої бронетехніки", - зазначає компанія.  У місцях, де ще минулої неділі розміщувалися значні сили, їх майже не залишилося.  Деяку військову техніку помітили на схід від Валуйок, приблизно за 15 км від кордону з Україною.  CNN окремо встановив геолокацію кількох відео, що з’явились у мережі на вихідних, на яких видно рух великих колон з танками, гаубицями й бронетехнікою в районі Білгорода.  Нагадаємо, після телефонних розмов президента Франції Еммануеля Макрона з Путіним і Байденом стало відомо, що останні в цілому згодні спробувати підготувати безпековий саміт на найвищому рівні за участі України, Росії та союзників. У Білому домі наголосили, що це буде можливо виключно за умови, що до того часу Кремль не почне вторгнення в Україну.  Читайте також: Мюнхенська не зрада: як Путін об'єднав світ навколо України та які кроки готує Захід.
h	0	0	0	17	1	0	0	20.25	0	0	3	0	0	0	0	0	0	0	1	2	1	1	1	1	1	1	7	0	6	3	0	0	0	0	0	0	1	1	1	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ватажок окупантів Луганської області підписав указ про добровільну мобілізацію чоловіків старше 55 років.  Джерело: РБК з посиланням на документ на сайті так званої "адміністрації" бойовиків  Дослівно з указу: "Здійснити призов на військову службу громадян чоловічої статі віком від 55 років у добровільному порядку".  Що було раніше: 19 лютого ватажки бойовиків ОРДЛО, глави терористичних організацій "ДНР" і "ЛНР" Денис Пушилін та Леонід Пасічник підписали укази про загальну мобілізацію.  Передісторія:
h	0	0	0	27	6	2	0	20.083333333333332	10	0	18	0	0	0	0	1	0	1	2	6	2	4	10	2	2	8	23	4	14	7	1	3	0	0	0	4	1	5	2	4	0	241	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Президенти Штатів і Росії Джо Байден і Володимир Путін погодилися на участь у саміті з обговорення "безпеки та стабільності в Європі", де йтиметься про припинення вогню на сході України і стримування РФ від вторгнення.  Джерело: Єлисейський палац, Білий дім  Деталі: За повідомленням Президента Франції Еммануеля Макрона, Байден і Путін, у принципі, погодилися на проведення саміту, "який може відбутися лише в тому випадку, якщо Росія не вторгнеться в Україну".  Макрон запропонував провести саміт між Байденом і Путіним, а потім – з іншими зацікавленими сторонами для обговорення безпеки та стратегічної стабільності в Європі.  Підготувати саміт мають державний секретар США Ентоні Блінкен і міністр закордонних справ Росії Сергій Лавров під час зустрічі у четвер, 24 лютого.  У Білому домі підтвердили, що Байден погодився на участь у саміті, "якщо не станеться вторгнення".  Білий дім підтвердив готовність "до дипломатії".  "Ми також готові накласти швидкі та важкі санкції, якщо Росія замість цього (дипломатії – ред.) вибере війну. І зараз, схоже, Росія дуже швидко готується до повномасштабного нападу на Україну", – ідеться в повідомленні Білого дому.  Що передувало: Після розмови з президентом Росії Володимиром Путіним президент Франції поговорив з лідером Сполучених Штатів Джо Байденом, а тоді знову зателефонував Путіну.  Макрон у неділю телефоном поспілкувався з президентом РФ Володимиром Путіним, після чого провів телефонну розмову з президентом України Володимиром Зеленським.
h	0	0	0	46	9	1	0	22.09090909090909	25	0	15	0	0	0	0	2	0	0	5	9	2	11	4	8	1	12	10	4	5	2	0	2	3	0	0	4	3	5	2	2	0	243	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Український Центр із протидії дезінформації та стратегічних комунікацій за вихідні 19-20 лютого зафіксував 10 неправдивих повідомлень щодо ситуації на Донбасі, також українська влада отримала один із темників російських пропагандистів.  Джерело: міністр інформаційної політики України Олександр Ткаченко на брифінгу 21 лютого  Пряма мова: "Центр лише цими вихідними викрив 10 класичних фейків. Мені як колишньому продюсеру було смішно дивитися на той будинок, який вони знімали два рази, здається. То спочатку ДРГ там було, то ті, хот намагалися щось підірвати, то люди, які підірвали той УАЗик.  Фактично, вони працюють за темниками. Такий варіант темника потрапив до нас у руки (Ткаченко показав аркуші з тезами – ред.), за яким і ОРДЛОвські ЗМІ, і ЗМІ російські намагаються дезінформувати наше суспільство, використовуючи маніпуляції та провокації. Чого тільки вартий вивіз українців у Російську Федерацію…"  Деталі: За словами Ткаченка, "інформаумація, що там тисячі чи десятки тисяч людей, не зовсім відповідає дійсності",.  Російські ЗМІ вранці 21 лютого повідомили, що кордон із РФ перейшли понад 61 тисяча жителів окупованих територій сходу України – ОРДЛО, а 6 російських регіонів запровадили режим надзвичайної ситуації через біженців із Донбасу.  Ткаченко додав, що з 17 лютого, коли зросла кількість обстрілів, почалася нова фаза гібридної війни: Росія бреше про Україну росіянам і всьому світові, ЗМІ створюють "картинку війни" і запускають провокації, відбуваються кібератаки і фейкові вибухи.
h	0	0	0	52	7	1	0	22.416666666666668	8	4	14	0	0	0	0	0	0	0	2	9	6	9	8	5	1	14	4	7	3	1	0	2	2	0	1	4	0	2	1	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Біженці з Донбасу у Росії, фото ТАСС  Російські ЗМІ повідомляють, що кордон із РФ перейшли понад 61 тисяча жителів окупованих територій сходу України – ОРДЛО, їх везуть углиб Росії, вже 6 російських регіонів запровадили режим надзвичайної ситуації через біженців із Донбасу.  Джерело: російські сайти "Интерфакс" та РБК  Деталі: Тимчасовий керівник МНС РФ Олександр Чупріян повідомив, що за добу до регіонів РФ вирушили 9 залізничних поїздів.  Як пише РБК, за два дні в Таганрозі та околицях не залишилося місць у санаторіях та готелях, виділених під розміщення "біженців" із Донбасу. Географія їх розселення почала розширюватися: людей вивозять у Воронезьку, Курську області й далі.  Режим надзвичайної ситуації через евакуйованих із Донбасу запровадили вже шість регіонів РФ: Ростовська, Воронезька, Курська, Пензенська, Саратовська і Волгоградська області.  Нібито це потрібно для "оперативної організації прийому біженців".  Нагадаємо: Евакуація людей з окупованої частини Донецької та Луганської областей розпочалася раптово та на тлі збільшення кількості обстрілів з боку бойовиків.  Ватажки ОРДЛО, які є маріонетками Кремля, оголосили про евакуацію жінок, дітей та літніх людей 18 лютого, хоча записали відеозвернення про це ще 16 лютого.  При цьому Денис Пушилін (ОРДО) та Леонід Пасічник (ОРЛО) оголосили мобілізацію чоловіків.  Все це супроводжується дезінформацією про плани наступу України на схід, повідомленнями про вибухи в Донецьку, руйнування цивільної інфраструктури, снаряди в Ростовській області РФ.  Україна заперечує плани наступу та, як і західні розвідки, попереджає про плани Росії використати фейки та провокації як привід для повномасштабного вторгнення в Україну.
