labels	quotes	stats	but	adj	advs	negations	survey	averagesent	proper	report	conj	comparative	superlat	questions	meme	personal	mon	modal	statives	strah	udivlen	zol	jdu	fu	ura	negati	positi	grustno	doverie	abstract_nouns	assertion_words	discourse_markers	claims	modality_words	cons	reas	purp	relat	tim	cond	passive	lentok
n	4	0	5	122	61	0	1	22.08955223880597	153	9	62	2	1	0	1	16	0	6	72	81	13	65	43	4	18	91	95	22	50	245	0	2	23	10	0	55	27	16	7	10	16	1480
n	0	0	0	4	1	0	0	24	2	0	1	0	0	0	0	0	0	0	0	2	1	1	3	0	3	1	3	0	1	9	0	0	0	0	0	0	1	0	1	0	0	24
n	4	0	0	12	6	1	1	25.11111111111111	32	4	5	0	0	0	0	3	0	1	11	11	4	9	4	1	2	11	7	6	7	58	0	1	9	0	0	8	4	1	3	0	2	226
n	4	0	1	40	6	1	0	28.58823529411765	78	7	26	0	0	0	1	4	0	0	15	14	5	10	12	3	13	16	37	3	47	112	2	3	13	3	0	19	2	5	6	1	0	486
n	7	0	0	15	6	1	0	26.25	22	3	11	0	0	0	0	4	0	1	7	11	2	9	2	3	2	19	9	7	4	76	0	0	5	0	0	1	6	3	2	1	1	210
n	6	0	1	26	13	0	0	40.875	28	1	8	2	0	0	0	4	1	1	11	9	6	4	13	3	9	14	23	5	12	64	1	2	3	2	0	10	5	2	4	0	1	327
n	0	73	5	55	52	3	0	23.177777777777777	93	7	23	4	1	0	0	0	0	3	36	10	6	4	19	0	10	20	63	12	34	90	0	0	44	11	0	32	15	2	2	2	10	1043
n	28	0	2	50	28	0	0	30.20689655172414	102	22	30	3	0	1	4	18	1	4	27	13	12	12	15	6	6	26	50	13	33	176	1	1	9	4	0	20	6	17	5	4	5	876
n	2	0	6	29	77	4	0	20.09375	49	3	30	3	1	2	12	26	0	4	44	13	5	10	11	3	9	15	27	6	19	105	3	6	14	12	0	20	11	17	5	3	2	643
n	12	1	1	39	17	1	2	24.3	37	7	23	0	1	0	1	9	0	0	23	28	5	13	10	3	7	30	20	12	18	96	0	3	20	3	0	6	3	6	3	5	8	486
n	6	0	0	35	13	2	0	22.347826086956523	52	1	25	1	1	0	1	11	0	5	26	31	6	29	11	7	5	37	32	16	15	79	1	2	13	1	1	9	5	5	1	2	10	514
n	50	4	81	421	611	30	5	11.20103092783505	797	60	497	24	4	121	286	907	0	53	788	124	99	112	148	68	130	212	358	112	218	1248	16	36	250	80	15	214	191	260	65	80	50	10865
n	9	0	52	422	432	9	6	14.193737769080235	436	29	409	19	5	39	77	467	1	45	586	206	57	140	139	40	79	256	309	76	191	1086	31	27	221	56	5	227	137	219	35	39	73	7253
n	7	0	0	34	18	1	1	31	28	5	15	0	0	0	4	11	0	0	26	14	6	16	12	7	4	24	17	7	13	66	6	2	12	3	2	22	3	5	1	3	4	372
