labels	quotes	stats	but	adj	advs	negations	survey	averagesent	proper	report	conj	comparative	superlat	questions	meme	personal	mon	modal	statives	strah	udivlen	zol	jdu	fu	ura	negati	positi	grustno	doverie	abstract_nouns	assertion_words	discourse_markers	claims	modality_words	cons	reas	purp	relat	tim	cond	passive	lentok
fake_0303222_9.tsv	6	0	0	25	24	3	1	24.88888888888889	35	14	12	4	0	0	0	3	0	2	33	9	2	4	7	3	3	27	20	11	11	12	1	3	4	2	0	1	4	5	3	0	3	448
fake_0303222_9.tsv	5	0	0	25	13	5	0	36.07142857142857	36	25	29	3	0	0	1	5	0	1	47	25	6	25	9	7	4	42	21	25	16	14	3	1	4	3	0	2	2	6	2	0	2	505
fake_0303222_9.tsv	3	0	0	23	12	7	0	18.04	38	12	26	3	1	0	0	5	0	1	60	14	3	11	7	4	0	25	26	11	18	12	1	0	23	4	0	1	0	7	2	2	8	451
fake_0303222_9.tsv	7	0	0	35	15	1	1	28.875	26	8	16	2	1	0	0	0	0	0	39	17	3	20	8	1	10	26	24	15	16	8	0	0	7	2	0	0	2	2	0	0	8	462
fake_0303222_9.tsv	3	0	0	18	23	9	0	14.333333333333334	15	7	14	3	0	1	0	2	0	1	49	21	4	22	7	6	5	25	27	21	11	14	0	0	1	3	0	0	4	9	1	0	9	430
fake_0303222_9.tsv	1	0	0	40	17	12	1	27.444444444444443	35	4	20	6	0	0	0	1	0	4	50	18	1	21	9	3	8	32	29	10	16	27	4	2	5	8	0	6	5	9	1	4	3	494
fake_0303222_9.tsv	0	0	0	24	25	6	0	18.90909090909091	32	2	23	2	2	1	0	1	0	6	38	15	3	12	6	0	1	21	23	9	8	17	2	4	6	4	0	2	0	5	0	4	5	416
fake_0303222_9.tsv	4	0	0	22	12	0	0	36.7	24	3	17	2	1	0	2	2	0	1	39	14	7	4	12	3	5	18	29	10	16	22	0	2	3	2	0	0	8	5	0	4	5	367
fake_0303222_9.tsv	13	0	0	70	35	8	0	28.685714285714287	41	30	42	8	3	0	0	4	0	5	75	37	12	31	13	13	8	51	46	22	25	4	0	2	26	15	0	1	2	6	3	2	14	1004
fake_0303222_9.tsv	16	2	0	32	38	13	5	31.22222222222222	48	8	45	6	3	1	3	5	0	7	77	18	9	18	23	7	15	32	51	16	32	47	9	3	15	6	0	6	6	24	8	8	4	843
fake_0303222_9.tsv	5	0	0	52	32	6	0	28	48	6	24	5	3	0	0	3	0	1	40	15	8	14	18	4	11	32	29	7	23	14	1	1	16	7	0	1	0	8	2	2	4	728
fake_0303222_9.tsv	6	0	0	12	15	3	0	22.666666666666668	24	1	11	1	0	0	0	0	0	3	13	15	0	10	5	1	0	22	8	10	6	2	1	0	2	4	0	0	2	2	0	2	2	272
fake_0303222_9.tsv	2	0	0	26	13	0	0	31.53846153846154	39	13	11	3	2	0	0	0	0	1	42	16	9	16	15	1	4	22	23	9	14	6	0	0	6	1	0	0	2	3	4	0	9	410
fake_0303222_9.tsv	4	0	0	24	32	0	0	43.27272727272727	27	7	22	3	4	0	0	0	0	7	28	7	1	4	8	0	0	22	19	6	17	4	0	0	5	2	0	0	5	8	2	0	2	476
fake_0303222_9.tsv	0	0	0	21	26	2	0	22.833333333333332	35	1	12	7	5	0	0	1	0	3	20	11	6	9	12	0	7	25	23	12	14	21	0	2	4	4	0	0	2	6	1	0	2	411
fake_0303222_9.tsv	3	0	0	50	18	4	0	39	33	10	15	6	4	0	0	2	2	1	22	4	4	6	16	1	6	25	26	3	21	11	2	1	11	8	0	0	2	8	1	2	1	546
