war	allegedly	so-called 	nationalists 	nazis 	fascists	the goals of the special operation	azov	bandera	banderites	free 	hysteria	unfriendly	great power	west	fascism	foreign agent 	brotherly nations	people of donbass 	russophobia 	russophobic	soros	great victory 	anglo-saxons	great patriotic war	external control 	spiritual scrapes 	denacification 	deukrainianization	demilitarization 	kiev regime 	special operation 	on ukraine	in ukraine	in donbass 	junta	kiev regime 	coup d'etat	reunification of crimea and sevastopol with russia 	return of crimea	civil war	ukraine border with the crimea	export of ukraine with crimea 	dnr	lnr	people's republics of donbass	self-proclaimed republics	borders of lnr/dnr	russian volunteers	self-defense	militia 	retirees	vacationers	novorossiya	southeast ukraine	southeast ukraine	baltic countries	belarus	belorussia	old russian	post-soviet space	near abroad 	color revolution 	ukrainian crisis	internal conflict in ukraine 	ukrainian-russian conflict 	armed formations of ukraine 	punishers 	kiev army 	republic of crimea	aggression of ukraine against donbass	genocide of the inhabitants of donbass 	8 years	russian spring	declaration of will of the people 	crimean referendum 	the polite men 	crimean blockade	crimean bridge 	special status of donbass 	people of donbass 	people's militia	forced migrants	blockage of supplies 	national battalion 	ukrainian nationalist paramilitaries 	demarcation line 	buffer zone 	russian world	orthodox world	prednestrovian moldavian republic 	republic of abkhazia 	south ossetia 	russcists	rashism	attack	invasion	russia's war against ukraine	deceased	fake	rape	looting	victims	arms deliveries	children	refugees	europe	war crimes	genocide 	pumping	pump	negotiations	sanctions 	embargo	kremlin 	kremlin regime	text
10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	6	0	The foreign ministers of Russia and Ukraine are expected to meet in Turkey on Thursday, the highest-level talks between the two countries since the Russian invasion began two weeks ago. They will discuss the war at a moment when Russia is escalating its airstrikes against civilian targets, and the humanitarian situation in several Ukrainian cities has worsened.  President Recep Tayyip Erdogan of Turkey said on Wednesday that he hoped the meeting between Foreign Minister Sergei Lavrov of Russia and his Ukrainian counterpart, Dmytro Kuleba, would “crack the door open to a permanent cease-fire.”  Both Russia and Ukraine appear to have softened their stance in recent days, raising hopes that a cease-fire might just be possible.  The Kremlin has narrowed its demands to focus on Ukrainian “neutrality” and the status of its occupied regions, and signaled that President Vladimir V. Putin is no longer set on regime change in Kyiv.  On the Ukrainian side, President Volodymyr Zelensky has suggested that he is open to revising his country’s constitutionally enshrined aspiration to join NATO, and even to a compromise over the status of Ukrainian territory now controlled by Russia.  Mr. Zelensky said on Wednesday that he expected Mr. Putin to eventually cease hostilities and enter negotiations after watching his forces encounter fierce resistance in Ukraine. An estimated 5,000 to 6,000 Russian troops have been killed during the two-week invasion, a U.S. official said on Wednesday, up sharply from an estimate of 3,000 just days ago.  “I think he sees that we are strong,” Mr. Zelensky told Vice News during an interview in Kyiv. “He will. We need some time.”  The talks on Thursday will be held in the Turkish city of Antalya, in a coastal region that has for years been a popular destination for Russian tourists.  Turkey is a more neutral location than Belarus, where the first three rounds of talks have been held. Mr. Erdogan has stopped short of imposing sanctions against Russia over the invasion, but his country is a NATO member that has provided Ukraine with lethal armed drones.  Yet the Russian and Ukrainian demands are still far apart.  The Kremlin said this week that it would halt military operations if Kyiv were to enshrine a status of neutrality in its constitution and recognize Russian sovereignty over Crimea and the independence of two Russia-backed separatist territories eastern Ukraine. That is still far from what Mr. Zelensky has said he would be willing to accept. Russia’s position could also puncture Mr. Putin’s image at home, opening him up to criticism that he waged a costly war for limited gain.  Even if Russia and Ukraine were to agree on a cease-fire, it would not necessarily mean the end of the war. Analysts caution that both sides could use it to build up strength ahead of a further escalation.  Mr. Kuleba said on Wednesday that his expectations for the talks in Turkey were low.  As Mr. Kuleba meets Mr. Lavrov, Vice President Kamala Harris will meet in Warsaw on Thursday with President Andrzej Duda and Prime Minister Mateusz Morawiecki of Poland, a NATO ally on Ukraine’s western border. Prime Minister Justin Trudeau of Canada, who is visiting Poland this week, will also attend.  The United States and its NATO allies are trying to find ways to help Ukraine defend itself without getting pulled into a wider war against Russia. In a sign of how difficult that is proving, the United States and Poland publicly disagreed this week over proposals for sending Soviet-era fighter jets into the country.  Gen. Tod D. Wolters, the head of U.S. European Command, said in a statement early Thursday that the United States had “no plans to facilitate an indirect or third party transfer of Polish aircraft” to Ukraine.  Providing more air-defense systems and anti-tank weapons to Ukraine is the most effective way to support the country’s military, General Wolters said, and Ukrainian air defenses have been limiting the effectiveness of Russia’s significant air capabilities.  Transferring fighter jets from Poland to Ukraine would “not appreciably increase the effectiveness of the Ukrainian Air Force,” he added. It could also be “mistaken as escalatory and could result in Russian escalation with NATO.”
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	The situation now: The foreign ministers of Russia and Ukraine met in Turkey, the highest-level talks between the two nations since the war started two weeks ago. They did not reach a ceasefire deal.
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KYIV, Ukraine — They met in high school but became a couple years later, after meeting again on a dance floor at a Ukrainian nightclub. Married in 2001, they lived in a bedroom community outside Kyiv, in an apartment with their two children and their dogs, Benz and Cake. She was an accountant and he was a computer programmer.  Serhiy and Tetiana Perebyinis owned a Chevrolet minivan. They shared a country home with friends, and Ms. Perebyinis was a dedicated gardener and an avid skier. She had just returned from a ski trip to Georgia.  And then, late last month, Russia invaded Ukraine, and the fighting quickly moved toward Kyiv. It wasn’t long before artillery shells were crashing into their neighborhood. One night, a shell hit their building, prompting Ms. Perebyinis and the children to move to the basement. Finally, with her husband away in eastern Ukraine tending to his ailing mother, Ms. Perebyinis decided it was time to take her children and run.  They didn’t make it. Ms. Perebyinis, 43, and her two children, Mykyta, 18, and Alisa, 9, along with a church volunteer who was helping them, Anatoly Berezhnyi, 26, were killed on Sunday as they dashed across the concrete remnants of a damaged bridge in their town of Irpin, trying to evacuate to Kyiv.
0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	It’s getting to the point where you’re better off filling up your gas tank in the morning because the price will be higher by the time you drive home.  This is an exaggeration, but not much of one. The price of gasoline was already rising before Russia invaded Ukraine on Feb. 24, and it has risen every day since then. As the most important measure of inflation that most Americans regularly see, this daily increase is a big problem in itself.  But it’s more than that: It’s a tax on working people, a drag on economic growth and a conspicuous emblem of the acute problems afflicting a range of financial assets, from stocks and bonds to commodities like gold, nickel and wheat.  These issues are minor compared with the anguish that the Russian onslaught has inflicted on Ukrainians. But it’s worth noting that both Russia’s brutal invasion as well as Western efforts to counter it and aid Ukraine are spilling over into global financial markets, affecting, in ways big and small, virtually everyone in the United States and around the world.
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	WASHINGTON — As gas prices hit a high this week, top Republican lawmakers took to the airwaves and the floors of Congress with misleading claims that pinned the blame on President Biden and his energy policies.  Mr. Biden warned that his ban on imports of Russian oil, gas and coal, announced on Tuesday as a response to Russia’s invasion of Ukraine, would cause gas prices to rise further. High costs are expected to last as long as the confrontation does.  While Republican lawmakers supported the ban, they asserted that the pain at the pump long preceded the war in Ukraine. Gas price hikes, they said, were the result of Mr. Biden’s cancellation of the Keystone XL pipeline, the temporary halt on new drilling leases on public lands and the surrendering of “energy independence” — all incorrect assertions.  Here’s a fact check of their claims.  What Was Said  “This administration wants to ramp up energy imports from Iran and Venezuela. That is the world’s largest state sponsor of terror and a thuggish South America dictator, respectively. They would rather buy from these people than buy from Texas, Alaska and Pennsylvania.”  — Senator Mitch McConnell, Republican of Kentucky and the minority leader, in a speech on Tuesday
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Image In Tokyo on Monday. The Omicron surge has worsened in Japan and other parts of Asia even as cases and deaths have slowed elsewhere. Credit... Koji Sasahara/Associated Press  The once severe Omicron wave that has retreated in much of the world is still flaring up in parts of East and Southeast Asia, where caseloads are rising and some countries are enduring their worst waves of the pandemic, the World Health Organization noted this week.  Many places in the region had kept caseloads fairly low throughout the pandemic because of their strict policies, including “zero Covid” approaches in mainland China and Hong Kong, as well as in New Zealand.  But the Omicron surge has worsened in parts of Asia since December — including in Japan, South Korea and Vietnam — and in Pacific island countries like New Zealand and Tonga. Tonga recorded its first community transmission of the coronavirus last month after aid workers came to help the island nation recover from a volcanic eruption and a subsequent tsunami.  Coronavirus policies in parts of Asia have generally been far stricter than in the Americas. Some countries in the Americas have eased those policies even further in the past few weeks as Omicron cases have dropped, a move that W.H.O. officials said on Wednesday was happening too soon.  The United States, along with Brazil, Germany, Indonesia, Japan and Russia, reported high death counts from Feb. 28 to Sunday, the agency said. Germany and Russia were still reporting high caseloads — although the agency reported on Tuesday that new cases and deaths had slowed worldwide during that time period.  Last month, the agency said that a more contagious Omicron subvariant had been spreading quickly and had become dominant in Denmark and in several Asian countries, including Bangladesh, China, India, Pakistan and the Philippines. But on Tuesday the agency said that the predominant Omicron subvariant still accounted for slightly more cases globally. Some scientists had been concerned that the more contagious variant’s greater transmissibility could cause a fresh spike or prolong the Omicron wave.  Scientists had also wondered whether people infected with one Omicron subvariant could be reinfected with another. The W.H.O. reported that recent data from Qatar suggested that a previous infection with one Omicron subvariant may confer protection against others.  The agency said it had received reports of clusters of what it called recombinant variants, or variants that combined Delta and Omicron or different Omicron subvariants. But because such clusters have showed “very low to almost undetectable levels of transmission,” those variants have not been named.
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	65.1% of the global population Received at least one dose Received additional dose Fully vaccinated Partially vaccinated  More than 4.99 billion people worldwide have received a dose of a Covid-19 vaccine, equal to about 65.1 percent of the world population. This map shows the stark gap between vaccination programs in different countries.  At least one dose Fully vaccinated Additional dose Share of population receiving at least one dose 20% 35% 50% 65% 80% No data Double-click to zoom into the map. + –  Vaccinations by country Pct. of population Doses administered Vaccinated Fully vaccinated Additional dose Per 100 people Total Additional doses World 65% 58% 19% 142 10,909,889,569 1,439,111,308 U.A.E. >99% 98% 49% 248 24,242,263 4,817,594 Portugal 94% 92% 60% 223 22,913,355 6,204,909 Brunei 94% 93% 27% 240 1,041,610 118,331 * Chile 94% 91% 78% 260 49,287,361 14,760,885 Malta 94% 92% 69% 248 1,246,808 345,107 Cuba 94% 87% 53% 310 35,083,131 6,032,236 Mainland China 91% 88% 40% 227 3,169,916,000 554,728,000 Argentina 90% 81% 39% 210 94,372,392 17,395,221 Cambodia 89% 84% 52% 219 36,072,945 8,541,767 Singapore 88% 86% 65% 239 13,651,279 3,723,755 Spain 87% 83% 51% 197 92,774,397 24,215,926 Australia 87% 81% 47% 215 54,659,334 11,985,296 New Zealand 87% 81% 51% 219 10,757,940 2,513,693 South Korea 87% 86% 62% 231 119,688,549 31,910,503 Show all Note: Some countries may have started administering additional doses but have not reported data yet. Table shows countries with at least 100,000 people. Use the search feature to find data for countries with smaller populations. Numbers marked with an asterisk * were last reported more than two weeks ago. · Source: Vaccinations data from local governments via Our World in Data.  The data is compiled from government sources by the Our World in Data project at the University of Oxford. A vaccinated person refers to someone who has received at least one dose of a vaccine, and a fully vaccinated person has received either a single-dose vaccine or both doses of a two-dose vaccine, such as the Pfizer-BioNTech and Moderna shots.  U.S. vaccinations tracker › How many have been vaccinated, and who’s eligible  Vaccine doses remain relatively scarce globally. But concerns around waning immunity have prompted many countries, including the United States and Israel, to start administering additional doses.  Additional doses include booster doses given to fully vaccinated individuals when the protection from the original shots has begun to decline, as well as extra shots given to people, such as the immunocompromised, who did not have a strong immune response from their initial doses. More than 1.44 billion additional doses have been administered worldwide, with many more countries expected to start administering them soon.  Tracking vaccination rates by country Charts show countries with at least 100,000 people  Less wealthy countries are relying on a vaccine-sharing arrangement called Covax, which originally aimed to provide two billion doses by the end of 2021 but repeatedly cut its forecasts because of production problems, export bans and vaccine hoarding by wealthy nations.  This has led to a striking divide between regions of the world. Africa has the slowest vaccination rate of any continent, with just 18.4 percent of the population receiving at least one dose of a vaccine.  Vaccination rates by region As a share of total population. The height of each bar is proportional to the region’s population. Partially vaccinated Fully vaccinated Received additional dose U.S. and Canada 78% at least one dose Latin America 77% Asia-Pacific 76% Europe 68% Middle East 54% Africa 18% 0% 20% 40% 60% 80% 100%  Vaccination rates continue to lag in low-income countries, where only 14 percent of the population has received at least one dose of a vaccine. In high- and upper-middle-income countries, 79 percent of the population has received at least one dose.  Vaccination rates by country income level Share of total population receiving at least one dose of a vaccine. Circles are sized by country population. Some countries may have started to administer doses but have not yet reported data. No doses reported >0% 20% 40% 60% 80% 100% High-income countries Upper-middle Lower-middle Low Note: Countries with no reported vaccinations either have not started a widespread vaccination campaign or are not regularly reporting data on the number of doses administered.  Most of the vaccines currently in use require two doses for a patient to be fully vaccinated. In February 2021, the Food and Drug Administration authorized a one-shot vaccine by pharmaceutical giant Johnson & Johnson for emergency use in the United States.  Where each vaccine is being used Oxford-AstraZeneca 182 countries Pfizer-BioNTech 156 countries Sinopharm-Beijing 88 countries Moderna 88 countries Johnson & Johnson 85 countries Sinovac 48 countries Gamaleya (Sputnik V) 48 countries Novavax 8 countries Bharat Biotech (Covaxin) 8 countries CanSino 7 countries Sputnik Light 5 countries Abdala 4 countries Soberana 02 3 countries Sinopharm-Wuhan 2 countries ZF2001 2 countries QazVac 2 countries Vector Institute (EpiVacCorona) 2 countries Soberana Plus 1 country COVIran Barekat 1 country FAKHRAVAC 1 country Razi Cov Pars 1 country Medigen 1 country Turkovac 1 country Note: The Oxford-AstraZeneca vaccine is known as Covishield in India. Only countries that report doses administered are shown. Other countries may have approved vaccines but have not administered them yet. · Source: Our World in Data
6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hopeless Corvallis, Ore. The physical scars of our warming planet are everywhere — from rising sea waters to melting glaciers and charred forests. scared Loose Creek, Mo. can’t sleep Dover, Del. depressing Brooklyn, N.Y. grief Houston stress and worry Munnsville, N.Y. But climate change is also inflicting a growing, unseen toll on mental health. This is how Americans describe the stresses and strains of life on the front lines of a changing climate. panic attacks Redlands, Calif. demoralizing Moss Landing, Calif. reclaim Cordova, Alaska unrecognizable Manton, Calif.  Experts and psychologists are racing to understand how the torments of a volatile, unpredictable planet shape our minds and mental health. In February, a major new study highlighted the mental health effects of climate change for the first time, saying that anxiety and stress from a changing climate were likely to increase in coming years. In addition to those who have lost their homes to floods and megafires, millions have endured record-breaking heat waves. The crisis also hits home in subtle, personal ways — withered gardens, receding lakeshores and quiet walks without the birdsong that once accompanied them. To understand what the effects of climate change feel like in America today, we heard from hundreds of people. In cities already confronting the long-term effects of climate change, and in drought-scarred ranches and rangeland, many are trying to cope with the strains of an increasingly precarious future.  CC Play again Alana Quintasket is a Swinomish tribal senator in Washington State. Warming seas and rivers are threatening ecosystems that are a lifeblood of tribal economies and cultures.  The feelings are complex. Some people grieve the loss of serene hiking trails that have been engulfed by wildfire smoke while others no longer find the same joy or release from nature. Some are seeking counseling. Others are harnessing their anxiety by protesting for change or working to slow the damage. “​​This is becoming a No. 1 threat to mental health,” said Britt Wray, a Stanford University researcher and author of “Generation Dread,” a forthcoming book about grappling with climate distress. “It can make day-to-day life incredibly hard to go on.” Psychologists and therapists say the distress of a changing climate can cause fleeting anxiety for some people but trigger much darker thoughts for others. In a 2020 survey, more than half of Americans reported feeling anxious about the climate’s impact on their mental health, and more than two-thirds said they were anxious about how climate change would affect the planet.  CC Play again Todd Tanner hunts and fishes in western Montana. Founder of the nonprofit Conservation Hawks, he sees firsthand the grim changes in the forests and rivers around him.  Young people say they are especially upset. A survey of people 16 to 25 in 10 countries published in The Lancet found that three-quarters were frightened of the future. More than half said humanity was doomed. Some feel betrayed by older generations and leaders. They say they feel angry but helpless as they watch people in power fail to act swiftly. Almost 40 percent of young people say they are hesitant about having children. If nature feels this unmoored today, some ask, why bring children into an even grimmer future? Some of the worst physical effects of climate change are disproportionately felt by Black and Latino communities and Indigenous nations — who often live in places with a legacy of mining, energy drilling and other pollution. And while these groups are among the most concerned about the changing climate, community resources to deal with the emotional fallout may be more limited.  CC Play again Tonyisha Harris is a young climate activist from Chicago’s South Side. Despite the work she does, she worries that climate change is robbing her generation and community of a future they deserve.  Experts are quick to emphasize that people are justified in their emotional response. The threat is real and growing as carbon levels in the atmosphere pass dangerous new thresholds. With rising temperatures, extreme weather events will become more and more common. “Sometimes I feel hopeless or sad or worried,” said Andrew Bryant, a social worker in Seattle who treats patients with climate anxieties. “That’s part of being a human being at this point if we’re paying attention.”  I lost a piece of my heart with the trees that I will never get back. Isabela Walkin, 23. The forest her family planted was destroyed by Hurricane Laura, but protected her childhood home in Lake Charles, La. I’m mad, I’m powerless, I’m exhausted and I'm only 18. Hayley Clausen, Hayden, Idaho. It is very difficult to proceed knowing the fires could come back, will be back. I feel confident that our family will find its heart again, but I’m just not sure how or where. Ted Bucklin, 67, whose family has lost homes and barns in California’s Sonoma Valley to multiple fires. We ruined the world and we feel bad for the young people that are going to have to deal with this. Ira Russianoff, 72, Dania Beach, Fla. Our subsistence resources are being threatened or moving farther away. Scary for this 68-year-old Eskimo. Jerry Ivanoff, of Unalakleet, Alaska, who has struggled in recent years to catch enough salmon to pay for the gas to fish for them. We haven’t rebuilt, since fire remains a risk, but with so much of my past erased, I can't let go of the small spot on this Earth that captured 11 happy years. Dr. Heather Furnas, 64, lost photos, journals and decades of handwritten birthday notes from her children in the Tubbs fire in Santa Rosa, Calif., in 2017. Climate change hangs heavy over me as a farmer who wants to be able to pass her operation on to her children and the next generation of farmers. Anne Schwagerl, 36, Browns Valley, Minn. I worry about the future and our ability to deal with these increasingly strong storms. Kevin Heist, 37, Ypsilanti, Mich. Our ancestral spirits live in land, sea and sky creatures that are now endangered or extinct. We also face the loss of our entire existence as an Indigenous community. Kauʻi Baumhofer Merritt, 39, Makakilo, Hawaii.  A new world of drenching hurricanes and deadlier summer heat is also straining professions that once seemed removed from the front lines of climate change. Hospitals and police officers in the Pacific Northwest grappled with 500 heat deaths when temperatures shattered records last summer. Along the Gulf, emergency workers are facing down larger, more frequent storms that make their jobs even more dangerous. “We want to believe that the world we live in won’t change very much,” said Susan Clayton, a professor at the College of Wooster and one of the first researchers to highlight climate anxiety. “But the very ground under our feet, the things we take for granted, can change.”  CC Play again ​​Laura Russell is a paramedic in New Orleans. Worsening floods and monster hurricanes have added a new burden to the work of helping people in crisis.  I feel hopeless all the time and none of my actions seem to make any positive impact. I just want to give up. Alyse Lightfoot, 32, a former California parks worker living in Castro Valley, Calif., whose family has been evacuated during several wildfires. We are climate change refugees. I am 68 years old and too tired to start over. What has happened to my world? Tina Reuwsaat, who is moving to Virginia to escape the threats of fire and drought in Oregon. Summers used to be fun. Nowadays, we cannot leave the house overnight during the months of July through October. Steve Mayo, 66, Forest Ranch, Calif. My husband comes home tired. Sometimes he tells me he has muscle cramps, that his head aches. Just purely from the heat. I worry about it, but we don’t have another option. Amalia Mejia, of Immokalee, Fla., whose husband installs windows. The winter storm last February really knocked the wind out of me. If I had not sought help from my doctor and a therapist, I’m not sure I would still be farming. Lorig Hawkins, 37, Bastrop, Texas. Robin’s eggs just before triple-digit weather in June. Afterward, we never saw the birds again. Christyl Rivers, 63, Yelm, Wash. I worry that one day my kids and the next generation may not be able to experience the joy of gardening and growing your own food. Adeeta Singh, 18, who volunteers at a community garden in the Bronx, N.Y.  CC Play again Donald Nelson farms and raises cattle in North Dakota. Changing precipitation cycles are making farming increasingly difficult and placing more strain on ranchers.
2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	According to people with knowledge of Mr. Putin’s conversations with his aides over the past two years, the president has completely lost interest in the present: The economy, social issues, the coronavirus pandemic, these all annoy him. Instead, he and Mr. Kovalchuk obsess over the past. A French diplomat told me that President Emmanuel Macron of France was astonished when Mr. Putin gave him a lengthy history lecture during one of their talks last month. He shouldn’t have been surprised.  In his mind, Mr. Putin finds himself in a unique historical situation in which he can finally recover for the previous years of humiliation. In the 1990s, when Mr. Putin and Mr. Kovalchuk first met, they were both struggling to find their footing after the fall of the Soviet Union, and so was the country. The West, they believe, took advantage of Russia’s weakness to push NATO as close as possible to the country’s borders. In Mr. Putin’s view, the situation today is the opposite: It is the West that’s weak. The only Western leader that Mr. Putin took seriously was Germany’s previous chancellor, Angela Merkel. Now she is gone and it’s time for Russia to avenge the humiliations of the 1990s.  It seems that there is no one around to tell him otherwise. Mr. Putin no longer meets with his buddies for drinks and barbecues, according to people who know him. In recent years — and especially since the start of the pandemic — he has cut off most contacts with advisers and friends. While he used to look like an emperor who enjoyed playing on the controversies of his subjects, listening to them denounce one another and pitting them against one another, he is now isolated and distant, even from most of his old entourage.  His guards have imposed a strict protocol: No one can see the president without a week’s quarantine — not even Igor Sechin, once his personal secretary, now head of the state-owned oil company Rosneft. Mr. Sechin is said to quarantine for two or three weeks a month, all for the sake of occasional meetings with the president.  In “All the Kremlin’s Men” I described the phenomenon of the “collective Putin” — the way his entourage always tried to eagerly anticipate what the president would want. These cronies would tell Mr. Putin exactly what he wanted to hear. The “collective Putin” still exists: The whole world saw it on the eve of the invasion when he summoned top officials, one by one, and asked them their views on the coming war. All of them understood their task and submissively tried to describe the president’s thoughts in their own words.
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ever since Russian forces invaded Ukraine late last month, President Biden has been toeing a fine line between providing support to the Ukrainians and averting kinetic, nuclear and cyber conflict between superpowers. In this conversation, Anne Neuberger, the deputy national security adviser for cyber and emerging technology, unpacks how this conflict is evolving in the cyber realm.  [You can listen to this episode of “Sway” on Apple, Spotify, Google or wherever you get your podcasts.]  Kara Swisher asks Neuberger how, in the face of attacks on Ukrainian banks and the Defense Ministry, the U.S. government “is working directly with Ukraine on cybersecurity” and why the Russians didn’t strike early on with the large-scale cyberattacks many experts had expected to see — similar to the 2015 attack that took out Ukraine’s electrical grid. They discuss how cyber tensions between Russia and the U.S. may escalate, with Neuberger clarifying that when the secretary of state reaffirmed this week that the U.S. and NATO “will defend every, every inch of NATO territory should it come under attack,” he was speaking not only of ground attacks, but also cyberattacks. And Kara presses Neuberger on whether the administration should have responded to the SolarWinds hack that infiltrated the Pentagon and the State Department with more than economic sanctions — and whether U.S. cyber policy has enough teeth to really deter Putin.  Do you think the United States is ready for a cyberwar with Russia? We want to hear from you. Share your thoughts in the comments on this page once you’ve listened to the episode.
